occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7
